Pick,Classifier
1,Top 5
2,Top 5
3,Top 5
4,Top 5
5,Top 5
6,6-15
7,6-15
8,6-15
9,6-15
10,6-15
11,6-15
12,6-15
13,6-15
14,6-15
15,6-15
16,16-32
17,16-32
18,16-32
19,16-32
20,16-32
21,16-32
22,16-32
23,16-32
24,16-32
25,16-32
26,16-32
27,16-32
28,16-32
29,16-32
30,16-32
31,16-32
32,16-32
33,33-48
34,33-48
35,33-48
36,33-48
37,33-48
38,33-48
39,33-48
40,33-48
41,33-48
42,33-48
43,33-48
44,33-48
45,33-48
46,33-48
47,33-48
48,33-48
49,49-64
50,49-64
51,49-64
52,49-64
53,49-64
54,49-64
55,49-64
56,49-64
57,49-64
58,49-64
59,49-64
60,49-64
61,49-64
62,49-64
63,49-64
64,49-64
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,5
138,5
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,5
149,5
150,5
151,5
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,5
173,5
174,5
175,5
176,5
177,6
178,6
179,6
180,6
181,6
182,6
183,6
184,6
185,6
186,6
187,6
188,6
189,6
190,6
191,6
192,6
193,6
194,6
195,6
196,6
197,6
198,6
199,6
200,6
201,6
202,6
203,6
204,6
205,6
206,6
207,6
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,7
219,7
220,7
221,7
222,7
223,7
224,7
225,7
226,7
227,7
228,7
229,7
230,7
231,7
232,7
233,7
234,7
235,7
236,7
237,7
238,7
239,7
240,7
241,7
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,7
250,7
251,7
252,7
253,7
254,7
255,7
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,7
